context_steps,target_pca_dim,dataset_name,target,status,reasons,real_rank_pct,shifted_rank_pct,time_rank_pct,mean_rank_pct,real_minus_shifted,real_minus_time,real_diag_minus_offdiag,real_row_corr,real_target_corr,residual_status,residual_reasons,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag,residual_row_corr,n_samples,n_runs,n_subjects,target_dim
8,32,speeded,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.5019842255282568,0.5043107719416519,0.5089991922702961,0.5,-0.002326546413395,-0.0070149667420392,0.0005145928236525,0.00448807735365,-0.0001746631745239,confounded,rank<0.52|diag<0.02|shifted_close,0.501338797147255,0.4976302738948434,0.0037085232524116,0.0014245552451113,0.0041985152745231,6883,19,19,100
8,32,gradcpt,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.4551839254220207,0.4927886846746496,0.5311705396096061,0.5,-0.0376047592526289,-0.0759866141875854,-0.0327820398018612,-0.0221146104176079,-0.0345993493392597,confounded,rank<0.52|diag<0.02|shifted_close,0.4541077395870629,0.5059288639919907,-0.0518211244049277,-0.041679822256569,-0.0337150445714047,3113,28,28,100
8,64,sleep,Z_masked100,confounded,rank<0.52|shifted_close,0.51245841350008,0.5058145943562611,0.5009269280102614,0.5,0.0066438191438189,0.0115314854898186,0.0232755236388811,0.0241338658233963,0.0045204061696987,fail,rank<0.52,0.5106070626903961,0.4983164983164983,0.0122905643738978,0.0201523701101278,0.0170845050467994,9273,33,33,100
8,64,natview,Z_masked100,confounded,rank<0.52|diag<0.02|shifted_close,0.5069722487267303,0.4983193751938976,0.4995922908823991,0.5,0.0086528735328326,0.0073799578443311,0.011589545684012,0.0135979772315466,0.0089491293358984,fail,rank<0.52|diag<0.02,0.5078960615574014,0.4975755291832822,0.0103205323741191,0.0139333108893885,0.0152133601866854,5811,22,22,100
8,64,natview_neurostorm,Z_neurostorm,fail,rank<0.52|diag<0.02,0.516853896638323,0.4913013357382474,0.5062577176711713,0.5,0.0255525609000756,0.0105961789671517,0.0199355634193681,0.0156390256590779,0.0018501753082394,fail,rank<0.52|diag<0.02,0.5150250344871804,0.4976214829947114,0.0174035514924689,0.0195053999732553,0.0145349157065454,5811,22,22,2304
8,64,xp2,Z_masked76,pass,,0.5513846533284035,0.5056324759395137,0.52229294751417,0.5,0.0457521773888898,0.0290917058142334,0.0642026553183133,0.0654515489823742,0.0466076504020141,pass,,0.5492115414993494,0.5145893991391454,0.034622142360204,0.0598816431925971,0.0584300404268617,5474,17,17,76
8,64,affective,Z_masked100,pass,,0.5238794997308936,0.497842896799396,0.4946560336686545,0.5,0.0260366029314976,0.029223466062239,0.0345862468110001,0.0348038821074781,0.0115184571477584,pass,,0.5220655226418585,0.5028755579198053,0.0191899647220531,0.032516181336402,0.0327320941681004,19506,21,21,100
8,64,experience,Z_masked100,time_dominated,time_beats_real,0.5424976207965763,0.4841571980474256,0.5803934016777635,0.5,0.0583404227491506,-0.0378957808811872,0.0758818960530466,0.0553669359538784,0.0252316410009143,pass,,0.5316857744822411,0.4816735169616113,0.0500122575206297,0.0603508161758638,0.0450312276063793,7909,24,24,100
8,64,speeded,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.501454891902313,0.5037852366615619,0.5092115395693528,0.5,-0.0023303447592489,-0.0077566476670398,3.917855989495154e-05,0.0032411424618985,-0.0005075833266043,confounded,rank<0.52|diag<0.02|shifted_close,0.5009846286308676,0.4975010605003888,0.0034835681304787,0.000730812578502,0.0029246626539181,6883,19,19,100
8,64,gradcpt,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.4547466342774927,0.4912474431780509,0.5302762735211043,0.5000000000000001,-0.0365008089005582,-0.0755296392436116,-0.0312610915535974,-0.0195380961633454,-0.017944848391077,confounded,rank<0.52|diag<0.02|shifted_close,0.4542232524101259,0.5053144186524513,-0.0510911662423254,-0.0403328353278797,-0.033936687505986,3113,28,28,100
